"author","papers"
"Fontelles, Eduardo M.","Mapping and Localization in Confined Underwater Environments: A Review and Research Agenda; Systematic Review on Sensor Fusion Techniques for Mobile Robots Using LiDAR and Complementary Sensors; Transformer Models for Underwater 3D Reconstruction: Advances, Challenges and Trends; Underwater Localization in Low-Texture Environments: Review, State of the Art and Perspectives"
"Fontes, K. B.","A Low-Cost Remotely Operated Underwater Vehicle for Educational Applications"
"Fontes, N.","A Low-Cost Remotely Operated Underwater Vehicle for Educational Applications"
"Forner-Cordero, Arturo","A Finite-Element-Based Framework for Simulating Human-Exoskeleton Interface Mechanics; An Active Learning Methodology for Teaching the Kalman Filter in Robotics Applications; From Simulation to Hardware: Development of a Modular Underactuated Biped Robot; IMU based displacement and impact estimation for the analysis of human-exoskeleton interactions"
"Freire, Eduardo O.","Dispersive Polarized RRT (DP-RRT): A Novel Biased Sampling Strategy for Enhanced RRT Performance; Eliciting Intuitive Gestures in Drones via Controlled Frustration: A Multidisciplinary Study"
"Freitas, Elias J. R.","A Vector Field–Based Path-Following Approach for Ackermann-Steered Vehicles; Influence of Mutation Operators in a Differential Evolution-based Path Planning for Non-Holonomic Robots"
"Freitas, Gustavo","An Automated and Compact Fiber Optic Tether System for Mobile Robots in Confined Spaces; Graph Connectivity Maintenance for Multi-Robots Systems under Visual Occlusion Constraints via CBFs"
"Freitas, Gustavo M.","An Agentic Framework for Aerial Swarms: Integrating LLMs with the Crazyswarm2; Control and Simulation of a Line-Follower Robot; Deep Learning-Based Estimation of Slip and Skidding for Wheeled Robots"
"Freitas, Luan","Challenges on Operational Procedures and Practical Experiences on Data Collection with Autonomous Sailboats"
"Furtado, Mateus C.","Validation of Robotic Arm Gestures for Social Robots Based on Human Perception"
"G, Andre","Real-Time Immersive Robotic Teleoperation Framework Using Virtual Reality and ROS"
"Gabriella, Maria","Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education"
"Gaertner, Marianne","A 5R Robotic Master Arm Proposal for Remote Control of the KUKA KR3 R540 Industrial Robot"
"Gama, Gabriel S.","UPI-Dataset: A Balanced UAV-Based Image Dataset for Defect and Anomaly Detection in Power Distribution Systems"
"Gamarra, Daniel F. T.","Distance-Optimized Waypoint Sequencing for UAV Environmental Monitoring"
"Gamarra, Tello","Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Garcia, Angel P.","A Django-Based Web Framework for Teleoperation of Differential Robots Integrated with ROS2; Static Stability and Low-Level Actuation Control of a Wheel-Legged Agricultural Robot"
"Garcia, Caio P. P.","Development of an Expressive Self-Balancing Companion Robot"
"Garcia, Luciane T. S.","Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices"
"Gaspar, Jornão","Anomaly Detection in ROS 2 Networks: A Hybrid Approach of Feature Selection and Feature Learning in Robotic Perception"
"Germano, Laisson B. R.","Adaptive Swarm Navigation: Dynamic Switching Between Behaviors for Congestion Avoidance in Cluttered Environments"
"Giselly, Anna","Development of an Educational Robotics Kit Without the Use of Screens"
"Givigi, Sidney N.","Eliciting Intuitive Gestures in Drones via Controlled Frustration: A Multidisciplinary Study"
"Gomes, Iago P.","An Attentive Multi-Scale Approach for Semantic Segmentation; Transformer-based Decision-Making using Segmented Bird’s Eye View Images and Deep Reinforcement Learning"
"Gomes, Petrônio","OTA Updates for Intelligent Vehicles: Challenges for a Safe and Secure Strategy"
"Gonçalves, Flávio R. F.","A Django-Based Web Framework for Teleoperation of Differential Robots Integrated with ROS2; Static Stability and Low-Level Actuation Control of a Wheel-Legged Agricultural Robot"
"Gonçalves, Garcia","Challenges on Operational Procedures and Practical Experiences on Data Collection with Autonomous Sailboats; Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices"
"Gonçalves, Luiz M. G.","Generative-Augmented Maritime Navigation Dataset: A Deep Synthetic Data Generation Framework; Multi-Variable Expanded Latent Space Autoencoder for Underwater Image Classification"
"Gonçalves, Vinicius","Graph Connectivity Maintenance for Multi-Robots Systems under Visual Occlusion Constraints via CBFs"
"Gonçalves, Vinicius M.","Constrained Task-Space Control of a UR5 Manipulator Using CBF–QP"
"Grando, Ricardo B.","Cross domain Persistent Monitoring for Hybrid Aerial Underwater Vehicles"
"Grossl, César","Miniaturized Mobile Robot for Educational Applications in Logistics"
"Guerche, Felipe D.","A Comparative Benchmark of Path Planning Algorithms in Dynamic Environments"
"Guerin, Joris","Multi-Variable Expanded Latent Space Autoencoder for Underwater Image Classification"
"Guerra, Rodrigo S.","Cross domain Persistent Monitoring for Hybrid Aerial Underwater Vehicles; Foundations of Vision Language Action Models for Generalist Robotic Manipulation; Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Guilherme, Victor","Mapping and Localization in Confined Underwater Environments: A Review and Research Agenda; Transformer Models for Underwater 3D Reconstruction: Advances, Challenges and Trends; Underwater Localization in Low-Texture Environments: Review, State of the Art and Perspectives"
"Gurgel, Leonardo","Impact of Windowing on LiDAR Odometry"
"Gutiérrez, Jorge N.","Anomaly Detection in ROS 2 Networks: A Hybrid Approach of Feature Selection and Feature Learning in Robotic Perception; Combining Entropy Metrics and Autoencoder–LSTM Models for Lightweight Data Injection Detection in ROS 2"
"Ian, Rubens","Seed Dispenser for Reforestation with Drones"
"Ibarra, Luis A. C.","Development of an Expressive Self-Balancing Companion Robot"
"Inoue, Roberto S.","A Comparative Benchmark of Path Planning Algorithms in Dynamic Environments; Improving Indoor Mobile Robot Localization Using Integrated EKF-SLAM, AMCL and ArUco Fiducial Markers; UAV Visual Servoing for Electrical Distribution System Inspection; UPI-Dataset: A Balanced UAV-Based Image Dataset for Defect and Anomaly Detection in Power Distribution Systems"
"Isaac, Credson","Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education"
"Jeferson, Ítalo","Portable LiDAR-Based System for Plant Height Measurement with Cloud Integration"
"Jesus, Junior C. D.","Cross domain Persistent Monitoring for Hybrid Aerial Underwater Vehicles"
"Jesus, Kesse J.","Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Jr, Paulo L. J. D.","Anomaly Detection in ROS 2 Networks: A Hybrid Approach of Feature Selection and Feature Learning in Robotic Perception"
"Jr, Valdir G.","UAV Visual Servoing for Electrical Distribution System Inspection; UPI-Dataset: A Balanced UAV-Based Image Dataset for Defect and Anomaly Detection in Power Distribution Systems"
"Junior, Adir A. P.","Propulsion of Hybrid Aerial-Underwater Vehicles: Experimental Setup and Dataset"
"Junqueira, Marcos E. M.","Pose estimation with ArUco markers and Kalman filter with on-line covariance adjustments for cooperative robotics"
"Júnior, Antonio C. A.","Impact of Windowing on LiDAR Odometry"
"Júnior, Gabriel L. S.","On the Challenges of Amphibious Uncrewed Surface Vehicle Simulation"
"Júnior, Gilmar P. C.","Deep Learning-Based Estimation of Slip and Skidding for Wheeled Robots"
"Júnior, Lopes","OTA Updates for Intelligent Vehicles: Challenges for a Safe and Secure Strategy"
"Júnior, Silva","Deep Learning-Based Estimation of Slip and Skidding for Wheeled Robots"
"Kalempa, Vivian C.","Miniaturized Mobile Robot for Educational Applications in Logistics"
"Kamarry, Stephanie","A Lightweight Open-Source Python-Based Simulator as an Educational Tool for Buoyancy Controlled Underwater Robotics; A Low-Cost Remotely Operated Underwater Vehicle for Educational Applications; Eliciting Intuitive Gestures in Drones via Controlled Frustration: A Multidisciplinary Study"
"Kappel, Kristofer S.","Foundations of Vision Language Action Models for Generalist Robotic Manipulation"
"Kich, Victor A.","Cross domain Persistent Monitoring for Hybrid Aerial Underwater Vehicles"
"Kolling, Alisson H.","Cross domain Persistent Monitoring for Hybrid Aerial Underwater Vehicles"
"Krepsky, Daniel V.","Design of a Robotic Gripper with Magnetically Coupled Modular Fingers; Software Development for Function Generation Synthesis of Six-Bar Mechanisms via Optimization"
"Lacerda, Guilherme S.","Bridging TurboWarp and NAO: API Architecture for Block-Based Humanoid Robot Programming; Unplugged Computing as an Introductory Strategy for Teaching Block-Based Programming Using the NAO Humanoid Robot"
"Lahr, Gustavo J. G.","Multi-Zone Velocity Control for Quadrupedal Gait Monitoring and Assistance in Rehabilitation"
"Laranjeira, Ryan L. S.","Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education"
"Laura, Tania L.","Relative Localization of a Robotic Smart Walker Based on Signal Fusion Using an Extended Information Filter"
"Lazarte, Norka","From Simulation to Hardware: Development of a Modular Underactuated Biped Robot"
"Leandro, Gabriel B.","UPI-Dataset: A Balanced UAV-Based Image Dataset for Defect and Anomaly Detection in Power Distribution Systems"
"Leite, J. E. D.","Synthetic Data Set for Surgical Instrument Detection"
"Lemos, Bruno","Deep Reinforcement Learning for Quadruped Locomotion in Genesis: A Comparative Study of PPO, SAC, and TD3 in Irregular Terrains"
"Li, Hangxu","Multi-Time Scale Control Allocation: A DCSV-Krylov Approach for Multicopters"
"Libarino, Cleia","LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks"
"Lilles, Paulo","Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Lima, Antonio M.","Closed-loop grasp verification via structured multi-sensor reasoning under occlusion"
"Lima, Crescencio","LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks"
