CROS 2026 — Programação Técnica — Terça-Feira 28/04/26,,,
S29E3,103,Unplugged Computing as an Introductory Strategy for Teaching Block-Based Programming Using the NAO Humanoid Robot,"Paradeda, Raul; da Silva, Jean; Conceição, Evelyn; Lacerda, Guilherme; Soares, Guilherme; dos Santos, Luiziane"
S29E3,138,A 5R Robotic Master Arm Proposal for Remote Control of the KUKA KR3 R540 Industrial Robot,"Tonin Matos, Lucca; Bollmann, Lucas; Gaertner, Marianne; Youssef, Ebrahim; Mejia, Leonardo"
S29E3,148,Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education,"Laranjeira, Ryan; Lima, Lucas; Andrade, Cecilia; Alves, Gabriella; Paiva, Fábio; Santos, Credson; Souza, Givanaldo; Lins, Filipe"
S29E3,50,Development of an Integrated Software System for an Othello-Playing Collaborative Robot,"Sicchieri, Icaro; D'Elia, Felipe D'Elia; Driemeier, Larissa; Martins, Thiago"
,,,
CROS 2026 — Programação Técnica — Quinta-Feira 30/04/26,,,
"S30M1 |  Quinta - 08:30 as 10:30 - Sala 1: Sensor Fusion, Robot Perception, Simultaneous Localization and Mapping (SLAM)           Chair: Paulo Drews",,,
Sessão,Paper ID,Título,Autores
S30M1,42,Lightweight Semantic Segmentation for Feature-based Visual Odometry in Dynamic Environments,"Amorim, Thulio; Nascimento, Tiago"
S30M1,119,Systematic Review on Sensor Fusion Techniques for Mobile Robots Using LiDAR and Complementary Sensors,"Muniz, Flavio; Matubara, Lisa; Fontelles, Eduardo; Costa, Victor; Melo, Rafael; Brandão, Diego; Carvalho, Fernando"
S30M1,115,Impact of Windowing on LiDAR Odometry,"Andrade Júnior, Antonio; Silveira Santos Filho, José Cândido; Carlos Pires Filho, Leonardo Gurgel"
S30M1,146,An Integrated System for Fast Mapping and Autonomous Navigation of Mobile Robots using ROS,"Cardoso de Oliveira, Levir; Araujo, Thiago; Andreazi Bertho, Gabriel; Cristiane, Kelen"
S30M1,177,Anomaly Detection in ROS 2 Networks: A Hybrid Approach of Feature Selection and Feature Learning in Robotic Perception,"Gaspar, Jornão; Gutierrez, Jorge; Drews, Paulo; Dalmazo, Bruno"
S30M1,183,Task-Space Trajectory Planning for Redundant Robotic Systems in Wire Arc Additive Manufacturing,"Silva, Raphael; Lizarralde, Fernando"
,,,
S30M2  |  Quinta - 08:30 as 10:30 - Sala 2: Human-Robot Interaction I                                                                                            Chair: Ewerton Salvador,,,
Sessão,Paper ID,Título,Autores
S30M2,27,Integration of Local Generative Language Models in Humanoid Robots: An Approach with the NAO Robot and DeepSeek-LLM,"Souza, Vitor"
S30M2,69,A New Approach for Action Recognition used in Proximal Control of UAVs,"Bezerra, Lygia Águeda; de Oliveira, Ewerton; Nascimento, Tiago"
S30M2,60,Development of a Modular Framework for Multimodal Interaction with the NAO Humanoid Robot Using Computer Vision and Natural Language Processing,"Souza, Vitor"
S30M2,147,LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks,"da Cruz Andrade, Caio; Diaz Amado, Jose; Soares Marques, João; Lima, Crescencio; Santos Libarino, Cleia; Alves Correia Filho, Luis; Maciel de Sousa, Raphaell; Astrid, Fabricia; Marconi, Kenedy"
S30M2,114,Eliciting Intuitive Gestures in Drones via Controlled Frustration: A Multidisciplinary Study,"dos Santos, Carlos Alberto; Santos, João Pedro; Givigi, Sidney; Freire, Eduardo; Santos, Phillipe; de Sousa, Stephanie"
,,,
S30M3  |  Quinta - 08:30 as 10:30 - Sala 3: Aerial / Ground / Marine Robotics                                                                                      Chair: Davi Santos,,,
Sessão,Paper ID,Título,Autores
S30M3,1,Multi-Time Scale Control Allocation: A DCSV-Krylov Approach for Multicopters,"PEÑA FERNÁNDEZ, CÉSAR; Li, Hangxu"
S30M3,63,Vision-Based UAV Tracking for UAV–UGV Cooperation Using YOLOv11 and Kalman Filtering,"Pinto, Milena; Leonardo Carvalho, Lucas; Nascimento Silva, Yuri; Tuxi, Thiago"
S30M3,130,ASV Aerocat: Cooperative Aerial–Surface System for Inspection Tasks,"Ribeiro Silva, João Marcelo; Freitas Oliveira, Vitor Eduardo; Barbosa Schettino, Vinícius; Ferreira dos Santos Neto, Accacio"
S30M3,142,Seed dispenser for reforestation using drones,"Alkimim dos Santos, Lívia; Miranda Souza, Jeovana; Silveira dos Santos Assunção, Rubens Ian; da Silva Almeida, Ana Júlia; Gonçalves dos Santos, Leandro; Monteiro Cotrim, Reinaldo; Santos Lima, Fábio; Soares Farias, Sarah Victoria; Rodrigues Silva, Luiz Flávio"
S30M3,182,Propulsion of Hybrid Aerial-Underwater Vehicles: Experimental Setup and Dataset,"Prado, Jardel; Miranda Pinheiro, Pedro; Pedroso-Jr, Adir; da Silva Diaz Estrada, Emanuel; Lilles Jorge Drews Junior, Paulo"
S30M3,118,On the Challenges of Amphibious Uncrewed Surface Vehicle Simulation,"Barbosa, Alysson; Junior, Gabriel; Nascimento, Tiago; Santos, Davi"
,,,
"S30A1 |  Quinta - 13:30 as 15:10 - Sala 1: Robotics in Healthcare, Rehabilitation Robotics                                           Chair: Adrien Durand-Petiteville",,,
Sessão,Paper ID,Título,Autores
S30A1,43,Synthetic Data Set for Surgical Instrument Detection,"R. Coelho, Nathalia; Dias Leite, Julia Ellen; da Silva Júnior, Marcondes R.; Durand-Petiteville, Adrien"
S30A1,44,Development of a prototype of a medicine blister cutter,"de Siqueira, Laura Luna; Lima Santos, Ivson; da Silva Júnior, Marcondes Ricarte; Durand-Petiteville, Adrien"
S30A1,75,Relative Localization of a Robotic Smart Walker Based on Signal Fusion Using an Extended Information Filter,"Tavares de Oliveira, Alberto; Alsina, Pablo; Laura, Tania; Marques Ferreira da Silva, Bruno; Dantas de Medeiros, Adelardo; Valerio de Araujo, Marcio; Guilherme Wanderley, Gustavo"
S30A1,111,A Finite-Element-Based Framework for Simulating Human-Exoskeleton Interface Mechanics,"Mazzariol, Leonardo; Siciliano, Andre; Moura, Rafael; Forner-Cordero, Arturo"
S30A1,153,A Human-Exoskeleton Co-Learning Framework for Adaptive and Synergistic Interaction in Rehabilitation Settings,"Marafa, Nasiru; Moreira, Melkzedekue; Siqueira, Adriano"
,,,
"S30A2 | Quinta - 13:30 as 15:10 - Sala 2: Human-Robot Interaction II, Humanoids                                                                            Chair: Sarah Madruga",,,
Sessão,Paper ID,Título,Autores
S30A2,112,IMU based displacement and impact estimation for the analysis of human-exoskeleton interactions,"Araújo, Adriano; Mazzariol , Leonardo; Americano, Pedro; Forner-Cordero, Arturo"
S30A2,122,Multi-Zone Velocity Control for Quadrupedal Gait Monitoring and Assistance in Rehabilitation,"Baptista, Rafael; Boaventura, Thiago; Lahr, Gustavo José Giardini"
S30A2,161,Adaptive Proxemic Path Planning for Mobile Robots in Dynamic Human Environments with Predicted Motion,"de Sousa, Raphaell; Amado, Jose"
S30A2,79,Bridging TurboWarp and NAO: API Architecture for Block-Based Humanoid Robot Programming,"Santos, Luiziane; Conceição, Evelyn; Lacerda, Guilherme; Paradeda, Raul"
S30A2,194,Mimoso: A Humanoid Platform for Research in Locomotion and Deep Reinforcement Learning,"Castanheira, Murilo; de Oliveira, Vinícius"
,,,
S30A3  |  Quinta - 13:30 as 15:10 - Sala 3:  Teleoperation and Control                                                                                              Chair: Augusto Tavares,,,
Sessão,Paper ID,Título,Autores
S30A3,157,Real-Time Immersive Robotic Teleoperation Framework Using Virtual Reality and ROS,"Neto, Miguel; Gustavo Scolari Conceicao, Andre; Paulo Moreira, António"
S30A3,68,A Django-Based Web Framework for Teleoperation of Differential Robots Integrated with ROS2,"Santos, Artur; Polanía, Edna; Fernandes, Hugo; Gonçalves, Flávio; Torres, Clayton; Garcia, Angel; Albiero, Daniel"
